Cam, ID #1	Cam, ID #2	Time Difference(s)			Detected By Time
1 , 1 	 2 , 1	25			1
1 , 1 	 2 , 11	9			1
1 , 1 	 2 , 19	23			1
1 , 1 	 2 , 2	24			1
1 , 1 	 2 , 20	22			1
1 , 1 	 2 , 24	34			1
1 , 1 	 2 , 26	36			1
1 , 1 	 2 , 28	54			0
1 , 1 	 2 , 30	59			0
1 , 1 	 2 , 31	63			0
1 , 1 	 2 , 32	64			0
1 , 1 	 2 , 33	66			0
1 , 1 	 2 , 39	93			0
1 , 1 	 2 , 44	97			0
1 , 1 	 2 , 45	96			0
1 , 1 	 2 , 48	106			0
1 , 1 	 2 , 49	110			0
1 , 1 	 2 , 50	108			0
1 , 1 	 2 , 52	115			0
1 , 1 	 2 , 53	113			0
1 , 1 	 2 , 6	20			1
1 , 1 	 2 , 8	21			1
1 , 10 	 2 , 1	66			0
1 , 10 	 2 , 11	50			0
1 , 10 	 2 , 19	18			1
1 , 10 	 2 , 2	65			0
1 , 10 	 2 , 24	7			1
1 , 10 	 2 , 26	5			1
1 , 10 	 2 , 28	13			1
1 , 10 	 2 , 30	18			1
1 , 10 	 2 , 31	22			1
1 , 10 	 2 , 32	23			1
1 , 10 	 2 , 33	25			1
1 , 10 	 2 , 39	52			0
1 , 10 	 2 , 44	56			0
1 , 10 	 2 , 45	55			0
1 , 10 	 2 , 48	65			0
1 , 10 	 2 , 49	69			0
1 , 10 	 2 , 50	67			0
1 , 10 	 2 , 52	74			0
1 , 10 	 2 , 53	72			0
1 , 10 	 2 , 6	61			0
1 , 10 	 2 , 8	62			0
1 , 11 	 2 , 1	64			0
1 , 11 	 2 , 11	48			1
1 , 11 	 2 , 19	16			1
1 , 11 	 2 , 2	63			0
1 , 11 	 2 , 20	17			1
1 , 11 	 2 , 24	5			1
1 , 11 	 2 , 26	3			1
1 , 11 	 2 , 28	15			1
1 , 11 	 2 , 30	20			1
1 , 11 	 2 , 31	24			1
1 , 11 	 2 , 32	25			1
1 , 11 	 2 , 33	27			1
1 , 11 	 2 , 39	54			0
1 , 11 	 2 , 44	58			0
1 , 11 	 2 , 45	57			0
1 , 11 	 2 , 48	67			0
1 , 11 	 2 , 49	71			0
1 , 11 	 2 , 50	69			0
1 , 11 	 2 , 52	76			0
1 , 11 	 2 , 53	74			0
1 , 11 	 2 , 6	59			0
1 , 11 	 2 , 8	60			0
1 , 12 	 2 , 1	64			0
1 , 12 	 2 , 11	48			1
1 , 12 	 2 , 2	63			0
1 , 12 	 2 , 20	17			1
1 , 12 	 2 , 24	5			1
1 , 12 	 2 , 26	3			1
1 , 12 	 2 , 28	15			1
1 , 12 	 2 , 30	20			1
1 , 12 	 2 , 31	24			1
1 , 12 	 2 , 32	25			1
1 , 12 	 2 , 33	27			1
1 , 12 	 2 , 39	54			0
1 , 12 	 2 , 44	58			0
1 , 12 	 2 , 45	57			0
1 , 12 	 2 , 48	67			0
