HUE and Delta-E color differences of all IDs

data structure: (cam 1, id 1), (cam 2, id 2), (hue diff), (delta-e diff)

((1, 1), (2, 1), (120), (20))
((1, 1), (2, 11), (114), (23))
((1, 1), (2, 19), (115), (18))
((1, 1), (2, 2), (147), (29))
((1, 1), (2, 20), (125), (19))
((1, 1), (2, 24), (125), (23))
((1, 1), (2, 26), (123), (27))
((1, 1), (2, 28), (110), (20))
((1, 1), (2, 30), (72), (22))
((1, 1), (2, 31), (123), (21))
((1, 1), (2, 32), (120), (22))
((1, 1), (2, 33), (300), (45))
((1, 1), (2, 39), (53), (26))
((1, 1), (2, 44), (116), (35))
((1, 1), (2, 45), (14), (24))
((1, 1), (2, 48), (105), (32))
((1, 1), (2, 49), (110), (35))
((1, 1), (2, 50), (118), (37))
((1, 1), (2, 52), (113), (18))
((1, 1), (2, 53), (123), (23))
((1, 1), (2, 6), (119), (34))
((1, 1), (2, 8), (128), (26))
((1, 10), (2, 1), (11), (18))
((1, 10), (2, 11), (5), (22))
((1, 10), (2, 19), (6), (16))
((1, 10), (2, 2), (38), (27))
((1, 10), (2, 20), (17), (15))
((1, 10), (2, 24), (16), (19))
((1, 10), (2, 26), (14), (26))
((1, 10), (2, 28), (2), (20))
((1, 10), (2, 30), (37), (26))
((1, 10), (2, 31), (15), (18))
((1, 10), (2, 32), (12), (20))
((1, 10), (2, 33), (191), (48))
((1, 10), (2, 39), (55), (31))
((1, 10), (2, 44), (8), (36))
((1, 10), (2, 45), (95), (29))
((1, 10), (2, 48), (4), (34))
((1, 10), (2, 49), (2), (37))
((1, 10), (2, 50), (9), (37))
((1, 10), (2, 52), (4), (16))
((1, 10), (2, 53), (14), (19))
((1, 10), (2, 6), (11), (34))
((1, 10), (2, 8), (19), (22))
((1, 11), (2, 1), (19), (14))
((1, 11), (2, 11), (13), (17))
((1, 11), (2, 19), (14), (11))
((1, 11), (2, 2), (46), (25))
((1, 11), (2, 20), (24), (12))
((1, 11), (2, 24), (24), (16))
((1, 11), (2, 26), (22), (23))
((1, 11), (2, 28), (9), (16))
((1, 11), (2, 30), (29), (21))
((1, 11), (2, 31), (22), (15))
((1, 11), (2, 32), (19), (16))
((1, 11), (2, 33), (199), (45))
((1, 11), (2, 39), (48), (26))
((1, 11), (2, 44), (15), (31))
((1, 11), (2, 45), (87), (25))
((1, 11), (2, 48), (4), (30))
((1, 11), (2, 49), (9), (33))
((1, 11), (2, 50), (17), (33))
((1, 11), (2, 52), (12), (11))
((1, 11), (2, 53), (22), (15))
((1, 11), (2, 6), (18), (30))
((1, 11), (2, 8), (27), (19))
((1, 12), (2, 1), (40), (29))
((1, 12), (2, 11), (34), (24))
((1, 12), (2, 19), (34), (30))
((1, 12), (2, 2), (67), (23))
((1, 12), (2, 20), (45), (32))
((1, 12), (2, 24), (45), (29))
((1, 12), (2, 26), (43), (21))
((1, 12), (2, 28), (30), (26))
((1, 12), (2, 30), (9), (19))
((1, 12), (2, 31), (43), (29))
((1, 12), (2, 32), (40), (27))
((1, 12), (2, 33), (219), (18))
((1, 12), (2, 39), (27), (14))
((1, 12), (2, 44), (36), (13))
((1, 12), (2, 45), (67), (17))
((1, 12), (2, 48), (25), (11))
((1, 12), (2, 49), (30), (11))
((1, 12), (2, 50), (38), (13))
((1, 12), (2, 52), (33), (30))
((1, 12), (2, 53), (43), (30))
((1, 12), (2, 6), (39), (14))
((1, 12), (2, 8), (47), (27))
((1, 13), (2, 1), (59), (7))
((1, 13), (2, 11), (52), (10))
((1, 13), (2, 19), (53), (11))
((1, 13), (2, 2), (85), (8))
((1, 13), (2, 20), (64), (9))
((1, 13), (2, 24), (63), (8))
((1, 13), (2, 26), (61), (8))
((1, 13), (2, 28), (49), (5))
((1, 13), (2, 30), (10), (6))
((1, 13), (2, 31), (62), (6))
((1, 13), (2, 32), (59), (8))
((1, 13), (2, 33), (238), (26))
((1, 13), (2, 39), (8), (10))
((1, 13), (2, 44), (55), (18))
((1, 13), (2, 45), (48), (8))
((1, 13), (2, 48), (43), (14))
((1, 13), (2, 49), (49), (17))
((1, 13), (2, 50), (56), (19))
((1, 13), (2, 52), (51), (11))
((1, 13), (2, 53), (62), (11))
((1, 13), (2, 6), (58), (15))
((1, 13), (2, 8), (66), (8))
((1, 14), (2, 1), (29), (16))
