probabilities of a person going in or out from a region in a camera.

data structure: (cam, inout region, % probability, in = 0/out = 1)



(1, 1, 59, 0)
(1, 2, 41, 0)
(1, 1, 46, 1)
(1, 2, 54, 1)

(2, 1, 31, 0)
(2, 2, 2, 0)
(2, 3, 44, 0)
(2, 4, 17, 0)
(2, 1, 44, 1)
(2, 2, 2, 1)
(2, 3, 35, 1)
(2, 4, 19, 1)

(11, 1, 33, 0)
(11, 2, 67, 0)
(11, 1, 67, 1)
(11, 2, 33, 1)

(12, 1, 72, 0)
(12, 2, 16, 0)
(12, 3, 8, 0)
(12, 4, 4, 0)
(12, 1, 92, 1)
(12, 2, 8, 1)
(12, 3, 0, 1)
(12, 4, 0, 1)

(13, 1, 76, 0)
(13, 2, 0, 0)
(13, 3, 6, 0)
(13, 4, 15, 0)
(13, 5, 3, 0)
(13, 1, 44, 1)
(13, 2, 3, 1)
(13, 3, 3, 1)
(13, 4, 27, 1)
(13, 5, 23, 1)

(14, 1, 14, 0)
(14, 2, 2, 0)
(14, 3, 6, 0)
(14, 4, 37, 0)
(14, 5, 28, 0)
(14, 6, 13, 0)
(14, 1, 16, 1)
(14, 2, 4, 1)
(14, 3, 2, 1)
(14, 4, 45, 1)
(14, 5, 12, 1)
(14, 6, 21, 1)

(15, 1, 73, 0)
(15, 2, 0, 0)
(15, 3, 0, 0)
(15, 4, 9, 0)
(15, 5, 9, 0)
(15, 6, 9, 0)
(15, 1, 37, 1)
(15, 2, 0, 1)
(15, 3, 18, 1)
(15, 4, 9, 1)
(15, 5, 27, 1)
(15, 6, 9, 1)

(17, 1, 14, 0)
(17, 2, 0, 0)
(17, 3, 81, 0)
(17, 4, 5, 0)
(17, 1, 52, 1)
(17, 2, 0, 1)
(17, 3, 48, 1)
(17, 4, 0, 1)

(18, 1, 33, 0)
(18, 2, 0, 0)
(18, 3, 45, 0)
(18, 4, 22, 0)
(18, 1, 56, 1)
(18, 2, 0, 1)
(18, 3, 44, 1)
(18, 4, 0, 1)

(19, 1, 25, 0)
(19, 2, 0, 0)
(19, 3, 0, 0)
(19, 4, 12, 0)
(19, 5, 63, 0)
(19, 1, 63, 1)
(19, 2, 0, 1)
(19, 3, 12, 1)
(19, 4, 25, 1)
(19, 5, 0, 1)

(20, 1, 60, 0)
(20, 2, 5, 0)
(20, 3, 35, 0)
(20, 1, 45, 1)
(20, 2, 5, 1)
(20, 3, 45, 1)

(21, 1, 55, 0)
(21, 2, 3, 0)
(21, 3, 9, 0)
(21, 4, 3, 0)
(21, 5, 18, 0)
(21, 6, 12, 0)
(21, 1, 64, 1)
(21, 2, 3, 1)
(21, 3, 3, 1)
(21, 4, 18, 1)
(21, 5, 9, 1)
(21, 6, 3, 1)

(22, 1, 53, 0)
(22, 2, 47, 0)
(22, 1, 47, 1)
(22, 2, 53, 1)
