Time differences of all IDs

data structure: (cam 1, id 1), (cam 2, id 2), (time diff)



((1, 1), (2, 1), (25))
((1, 1), (2, 11), (9))
((1, 1), (2, 19), (23))
((1, 1), (2, 2), (24))
((1, 1), (2, 20), (22))
((1, 1), (2, 24), (34))
((1, 1), (2, 26), (36))
((1, 1), (2, 28), (54))
((1, 1), (2, 30), (59))
((1, 1), (2, 31), (63))
((1, 1), (2, 32), (64))
((1, 1), (2, 33), (66))
((1, 1), (2, 39), (93))
((1, 1), (2, 44), (97))
((1, 1), (2, 45), (96))
((1, 1), (2, 48), (106))
((1, 1), (2, 49), (110))
((1, 1), (2, 50), (108))
((1, 1), (2, 52), (115))
((1, 1), (2, 53), (113))
((1, 1), (2, 6), (20))
((1, 1), (2, 8), (21))
((1, 10), (2, 1), (66))
((1, 10), (2, 11), (50))
((1, 10), (2, 19), (18))
((1, 10), (2, 2), (65))
((1, 10), (2, 20), (19))
((1, 10), (2, 24), (7))
((1, 10), (2, 26), (5))
((1, 10), (2, 28), (13))
((1, 10), (2, 30), (18))
((1, 10), (2, 31), (22))
((1, 10), (2, 32), (23))
((1, 10), (2, 33), (25))
((1, 10), (2, 39), (52))
((1, 10), (2, 44), (56))
((1, 10), (2, 45), (55))
((1, 10), (2, 48), (65))
((1, 10), (2, 49), (69))
((1, 10), (2, 50), (67))
((1, 10), (2, 52), (74))
((1, 10), (2, 53), (72))
((1, 10), (2, 6), (61))
((1, 10), (2, 8), (62))
((1, 11), (2, 1), (64))
((1, 11), (2, 11), (48))
((1, 11), (2, 19), (16))
((1, 11), (2, 2), (63))
((1, 11), (2, 20), (17))
((1, 11), (2, 24), (5))
((1, 11), (2, 26), (3))
((1, 11), (2, 28), (15))
((1, 11), (2, 30), (20))
((1, 11), (2, 31), (24))
((1, 11), (2, 32), (25))
((1, 11), (2, 33), (27))
((1, 11), (2, 39), (54))
((1, 11), (2, 44), (58))
((1, 11), (2, 45), (57))
((1, 11), (2, 48), (67))
((1, 11), (2, 49), (71))
((1, 11), (2, 50), (69))
((1, 11), (2, 52), (76))
((1, 11), (2, 53), (74))
((1, 11), (2, 6), (59))
((1, 11), (2, 8), (60))
((1, 12), (2, 1), (64))
((1, 12), (2, 11), (48))
((1, 12), (2, 19), (16))
((1, 12), (2, 2), (63))
((1, 12), (2, 20), (17))
((1, 12), (2, 24), (5))
((1, 12), (2, 26), (3))
((1, 12), (2, 28), (15))
((1, 12), (2, 30), (20))
((1, 12), (2, 31), (24))
((1, 12), (2, 32), (25))
((1, 12), (2, 33), (27))
((1, 12), (2, 39), (54))
((1, 12), (2, 44), (58))
((1, 12), (2, 45), (57))
((1, 12), (2, 48), (67))
((1, 12), (2, 49), (71))
((1, 12), (2, 50), (69))
((1, 12), (2, 52), (76))
((1, 12), (2, 53), (74))
((1, 12), (2, 6), (59))
((1, 12), (2, 8), (60))
((1, 13), (2, 1), (57))
((1, 13), (2, 11), (41))
((1, 13), (2, 19), (9))
((1, 13), (2, 2), (56))
((1, 13), (2, 20), (10))
((1, 13), (2, 24), (2))
((1, 13), (2, 26), (4))
((1, 13), (2, 28), (22))
((1, 13), (2, 30), (27))
((1, 13), (2, 31), (31))
